,name,date,rate_of_ret,rate_of_ret_accumulate
0,浦发银行,2016-05,0.019175455417066223,0.019175455417066223
1,浦发银行,2016-06,-0.035747883349012355,-0.01725790987535958
2,浦发银行,2016-07,0.007804878048780495,-0.009587727708533111
3,浦发银行,2016-08,0.0503388189738625,0.04026845637583887
4,浦发银行,2016-09,0.0,0.04026845637583887
5,浦发银行,2016-10,-0.012903225806451535,0.02684563758389258
6,浦发银行,2016-11,0.05415499533146573,0.08245445829338416
7,浦发银行,2016-12,-0.05491585473870675,0.023010546500479068
8,浦发银行,2017-01,0.03280224929709452,0.05656759348034468
9,浦发银行,2017-02,-0.00907441016333932,0.04697986577181168
10,浦发银行,2017-03,-0.0347985347985349,0.010546500479385879
11,浦发银行,2017-04,-0.050284629981024564,-0.04026845637583931
12,浦发银行,2017-05,0.1108891108891108,0.06615532118887768
13,浦发银行,2017-06,-0.014388489208632893,0.05081495685522497
14,浦发银行,2017-07,0.05656934306569328,0.11025886864812984
15,浦发银行,2017-08,-0.049222797927461204,0.05560882070949136
16,浦发银行,2017-09,0.012715712988192518,0.06903163950143765
17,浦发银行,2017-10,-0.019730941704035887,0.04793863854266478
18,浦发银行,2017-11,0.023787740164684434,0.07286673058485094
19,浦发银行,2017-12,-0.02502234137622872,0.04602109300095836
20,浦发银行,2018-01,0.045829514207149424,0.0939597315436238
21,浦发银行,2018-02,-0.05346187554776505,0.035474592521572035
22,浦发银行,2018-03,-0.06574074074074077,-0.032598274209012845
23,浦发银行,2018-04,-0.0029732408325073845,-0.0354745925215727
24,浦发银行,2018-05,-0.09145129224652082,-0.1236816874400769
25,浦发银行,2018-06,-0.0940919037199126,-0.2061361457334615
26,浦发银行,2018-07,0.07487922705314021,-0.14669223394055642
27,浦发银行,2018-08,0.015730337078651457,-0.13326941514861035
28,浦发银行,2018-09,0.028761061946902755,-0.1083413231064243
29,浦发银行,2018-10,0.033333333333333215,-0.07861936720997187
30,浦发银行,2018-11,-0.023933402705514917,-0.10067114093959773
31,浦发银行,2018-12,-0.08528784648187637,-0.1773729626078624
32,浦发银行,2019-01,0.09440559440559437,-0.09971236816874451
33,浦发银行,2019-02,0.09478168264110742,-0.014381591562800278
34,浦发银行,2019-03,-0.03891050583657574,-0.05273250239693239
35,浦发银行,2019-04,0.06072874493927127,0.004793863854266167
36,浦发银行,2019-05,-0.06965648854961837,-0.06519654841802536
37,浦发银行,2019-06,0.08102564102564092,0.010546500479385879
38,浦发银行,2019-07,0.01707779886148031,0.02780441035474568
39,浦发银行,2019-08,-0.05037313432835833,-0.023969319271333056
40,浦发银行,2019-09,0.05009823182711193,0.02492809204218549
41,浦发银行,2019-10,0.05612722170252571,0.08245445829338394
42,浦发银行,2019-11,-0.04782993799822843,0.030680728667305424
43,浦发银行,2019-12,0.039069767441860526,0.07094918504314429
44,浦发银行,2020-01,-0.08236347358997309,-0.01725790987535991
45,浦发银行,2020-02,-0.04390243902439017,-0.060402684563758635
46,浦发银行,2020-03,-0.0653061224489796,-0.12176414189837037
47,浦发银行,2020-04,0.048034934497816595,-0.07957813998082486
48,浦发银行,2020-05,-0.006250000000000089,-0.08533077660594479
49,浦发银行,2020-06,0.0010482180293502896,-0.08437200383509136
50,浦发银行,2020-07,0.03246073298429297,-0.054650047938639035
51,浦发银行,2020-08,0.0,-0.054650047938639035
52,浦发银行,2020-09,-0.09330628803245433,-0.14285714285714324
53,浦发银行,2020-10,-0.013422818791946178,-0.15436241610738277
54,浦发银行,2020-11,0.08616780045351469,-0.08149568552253139
55,浦发银行,2020-12,-0.03862212943632559,-0.11697027804410365
56,浦发银行,2021-01,0.02931596091205213,-0.09108341323106428
57,浦发银行,2021-02,0.05801687763713059,-0.03835091083413256
58,浦发银行,2021-03,0.04287138584247274,0.0028763183125597447
59,浦发银行,2021-04,-0.08508604206500958,-0.0824544582933846
0,浙江龙盛,2016-05,-0.04054054054054068,-0.04054054054054068
1,浙江龙盛,2016-06,0.006402048655569814,-0.03439803439803446
2,浙江龙盛,2016-07,0.1055979643765903,0.06756756756756754
3,浙江龙盛,2016-08,0.018411967779056404,0.08722358722358714
4,浙江龙盛,2016-09,-0.051977401129943424,0.03071253071253066
5,浙江龙盛,2016-10,-0.00715137067938032,0.023341523341523285
6,浙江龙盛,2016-11,0.038415366146458574,0.06265356265356248
7,浙江龙盛,2016-12,-0.028901734104046284,0.03194103194103182
8,浙江龙盛,2017-01,0.05476190476190457,0.08845208845208807
9,浙江龙盛,2017-02,-0.007900677200902928,0.07985257985257954
10,浙江龙盛,2017-03,-0.023890784982935065,0.054054054054053946
11,浙江龙盛,2017-04,0.011655011655011593,0.06633906633906617
12,浙江龙盛,2017-05,-0.019585253456221197,0.04545454545454519
13,浙江龙盛,2017-06,0.04347826086956541,0.09090909090909083
14,浙江龙盛,2017-07,0.13851351351351338,0.24201474201474182
15,浙江龙盛,2017-08,0.023738872403560762,0.2714987714987711
16,浙江龙盛,2017-09,-0.07632850241545885,0.17444717444717428
17,浙江龙盛,2017-10,0.0020920502092049986,0.1769041769041768
18,浙江龙盛,2017-11,0.061586638830897655,0.2493857493857492
19,浙江龙盛,2017-12,0.07276302851524097,0.34029484029484025
20,浙江龙盛,2018-01,0.0650779101741521,0.4275184275184274
21,浙江龙盛,2018-02,0.015490533562822817,0.44963144963144974
22,浙江龙盛,2018-03,-0.11864406779661019,0.2776412776412778
23,浙江龙盛,2018-04,-0.023076923076923106,0.24815724815724827
24,浙江龙盛,2018-05,0.1968503937007875,0.493857493857494
25,浙江龙盛,2018-06,-0.06661184210526316,0.3943488943488944
26,浙江龙盛,2018-07,-0.022026431718061623,0.36363636363636376
27,浙江龙盛,2018-08,-0.09999999999999998,0.22727272727272751
28,浙江龙盛,2018-09,-0.07207207207207211,0.138820638820639
29,浙江龙盛,2018-10,-0.08953613807982741,0.036855036855037104
30,浙江龙盛,2018-11,0.021327014218009532,0.058968058968059234
31,浙江龙盛,2018-12,0.06380510440835274,0.126535626535627
32,浙江龙盛,2019-01,0.026172300981461394,0.1560196560196565
33,浙江龙盛,2019-02,0.09670563230605733,0.2678132678132683
34,浙江龙盛,2019-03,0.5833333333333333,1.0073710073710083
35,浙江龙盛,2019-04,0.18115055079559372,1.371007371007372
36,浙江龙盛,2019-05,-0.1844559585492228,0.9336609336609345
37,浙江龙盛,2019-06,-0.03367217280813206,0.8685503685503695
38,浙江龙盛,2019-07,-0.04339250493096647,0.7874692874692883
39,浙江龙盛,2019-08,-0.0756013745704468,0.652334152334153
40,浙江龙盛,2019-09,0.008178438661710086,0.6658476658476666
41,浙江龙盛,2019-10,-0.016224188790560534,0.6388206388206394
42,浙江龙盛,2019-11,-0.04797601199400303,0.5601965601965608
43,浙江龙盛,2019-12,0.09921259842519703,0.714987714987716
44,浙江龙盛,2020-01,-0.07593123209169061,0.5847665847665855
45,浙江龙盛,2020-02,-0.03410852713178292,0.5307125307125315
46,浙江龙盛,2020-03,-0.0778491171749599,0.41154791154791237
47,浙江龙盛,2020-04,0.015665796344647598,0.4336609336609345
48,浙江龙盛,2020-05,0.006855184233076184,0.4434889434889442
49,浙江龙盛,2020-06,0.050212765957446726,0.5159705159705166
50,浙江龙盛,2020-07,0.17585089141004873,0.7825552825552835
51,浙江龙盛,2020-08,-0.02963473466574773,0.7297297297297307
52,浙江龙盛,2020-09,-0.05255681818181823,0.6388206388206397
53,浙江龙盛,2020-10,-0.022488755622188994,0.6019656019656026
54,浙江龙盛,2020-11,0.12116564417177922,0.7960687960687969
55,浙江龙盛,2020-12,-0.085499316005472,0.6425061425061431
56,浙江龙盛,2021-01,0.005983545250560995,0.652334152334153
57,浙江龙盛,2021-02,0.20669144981412657,0.9938574938574951
58,浙江龙盛,2021-03,-0.12446087492298208,0.7457002457002468
59,浙江龙盛,2021-04,-0.061224489795918435,0.6388206388206399
0,上证综指,2016-05,-0.008083961651345617,-0.008083961651345617
1,上证综指,2016-06,0.004453785546283173,-0.003666180336621916
2,上证综指,2016-07,0.0169749557108283,0.013246542125364247
3,上证综指,2016-08,0.035628696288439565,0.04934719544006039
4,上证综指,2016-09,-0.026183847622257672,0.021871248371814422
5,上证综指,2016-10,0.03188005458115617,0.054448559544822084
6,上证综指,2016-11,0.04823108605413995,0.10530575875989223
7,上证综指,2016-12,-0.045042661144666485,0.05551984600682203
8,上证综指,2017-01,0.017891894678506493,0.07440509592264943
9,上证综指,2017-02,0.02613344644321125,0.10248300395525733
10,上证综指,2017-03,-0.005928933007992576,0.09594645608235619
11,上证综指,2017-04,-0.021055016120974157,0.07287128578181767
12,上证综指,2017-05,-0.011880836603627709,0.060124677338719845
13,上证综指,2017-06,0.024140408959379966,0.08571652059760737
14,上证综指,2017-07,0.02524722546774716,0.11312785038719309
15,上证综指,2017-08,0.02681918589197152,0.14298103312825794
16,上证综指,2017-09,-0.0035318866582757513,0.13894415366669
17,上证综指,2017-10,0.013257926388648311,0.15404419141678427
18,上证综指,2017-11,-0.022441016815291204,0.12814626631161108
19,上证综指,2017-12,-0.00302062890579069,0.12473855508963028
20,上证综指,2018-01,0.05251015218449617,0.18379874778515704
21,上证综指,2018-02,-0.06361126512929394,0.10849581178006917
22,上证综指,2018-03,-0.027768829328007172,0.0777141807719377
23,上证综指,2018-04,-0.027350184606645844,0.04823849897462518
24,上证综指,2018-05,0.004295591179113822,0.05274130302442814
25,上证综指,2018-06,-0.08013322694130443,-0.031618254721312855
26,上证综指,2018-07,0.010177634490170062,-0.02176241927091338
27,上证综指,2018-08,-0.05254832429425671,-0.0731671648998945
28,上证综指,2018-09,0.03526281992477753,-0.040484425535388446
29,上证综指,2018-10,-0.07747000549382377,-0.11481810236057133
30,上证综指,2018-11,-0.005605544840516785,-0.1197800291798029
31,上证综指,2018-12,-0.03643086481286151,-0.15184720394233442
32,上证综指,2019-01,0.036356710373310897,-0.1210111583837521
33,上证综指,2019-02,0.13788754028716554,0.00019045092657732354
34,上证综指,2019-03,0.05093932232781939,0.05113947469553337
35,上证综指,2019-04,-0.00401842912422834,0.046915545216790866
36,上证综指,2019-05,-0.058356127003515,-0.014178391301834292
37,上证综指,2019-06,0.027660675475213115,0.013090100292818097
38,上证综指,2019-07,-0.015566253088408977,-0.0026799166097015714
39,上证综指,2019-08,-0.01577829231613892,-0.018415924418189733
40,上证综指,2019-09,0.006565635567381989,-0.011971201099174045
41,上证综指,2019-10,0.008216330085123458,-0.0038532303537968104
42,上证综指,2019-11,-0.019487480625183462,-0.023265621227116284
43,上证综指,2019-12,0.06202689433770425,0.037318178881032615
44,上证综指,2020-01,-0.024126919596605956,0.012290886583072202
45,上证综指,2020-02,-0.03232959184016293,-0.020436064603675197
46,上证综指,2020-03,-0.04513418741103359,-0.06464788684494249
47,上证综指,2020-04,0.039915645565938185,-0.027312703416893958
48,上证综指,2020-05,-0.002702721602192981,-0.02994160638554777
49,上证综指,2020-06,0.04638981892124039,0.015059226837256023
50,上证综指,2020-07,0.1090036754482071,0.12570441336013238
51,上证综指,2020-08,0.025882097032939422,0.1548400042171274
52,上证综指,2020-09,-0.05231058285821977,0.09442965048854046
53,上证综指,2020-10,0.0020136418017122626,0.09663343978179761
54,上证综指,2020-11,0.051861821722855694,0.15350684773108325
55,上证综指,2020-12,0.02397280467957641,0.18115964208829438
56,上证综指,2021-01,0.002879296990846658,0.18456055149146877
57,上证综指,2021-02,0.007467550178434479,0.19340631684912535
58,上证综指,2021-03,-0.019141769352650884,0.17056240838800285
59,上证综指,2021-04,0.001438154977904782,0.17224585854257435
0,国债指数,2016-05,0.002807196631364084,0.002807196631364084
1,国债指数,2016-06,0.0031174449675530624,0.005933392879928556
2,国债指数,2016-07,0.004883617682501562,0.01084598698481587
3,国债指数,2016-08,0.004922999242615411,0.01582238101314304
4,国债指数,2016-09,0.0032031151865343777,0.019076177108587666
5,国债指数,2016-10,0.006197959055906921,0.02539236952915691
6,国债指数,2016-11,-0.0022399203583871596,0.02309557228531367
7,国债指数,2016-12,-0.0035545023696683664,0.019458976649228354
8,国债指数,2017-01,-0.0005006571124600567,0.018948577261707733
9,国债指数,2017-02,0.0019410180952976752,0.020926374888350585
10,国债指数,2017-03,0.0009998750156230418,0.02194717366339205
11,国债指数,2017-04,0.00268447996004495,0.024690570371316056
12,国债指数,2017-05,-0.002864080692360438,0.021755773893071817
13,国债指数,2017-06,0.0016234779893848916,0.02341457190251406
14,国债指数,2017-07,-0.00031170126550705834,0.02309557228531367
15,国债指数,2017-08,0.002182589174357652,0.025328569605716833
16,国债指数,2017-09,-0.00012444776305153837,0.025200969758836678
17,国债指数,2017-10,0.0007467795133486721,0.025966568840117832
18,国债指数,2017-11,0.0,0.025966568840117832
19,国债指数,2017-12,0.00024874074995340223,0.026221768533878143
20,国债指数,2018-01,0.0026111283804788332,0.02890136531836207
21,国债指数,2018-02,0.004836609412786075,0.03387775934668924
22,国债指数,2018-03,0.005615550755939447,0.03968355237973742
23,国债指数,2018-04,0.00589101620029453,0.04580834502998621
24,国债指数,2018-05,0.004758418740849146,0.05078473905831338
25,国债指数,2018-06,0.004493017607771765,0.055505933392880236
26,国债指数,2018-07,0.005923597678916703,0.06175832589000918
27,国债指数,2018-08,0.0010816007691383245,0.0629067245119308
28,国债指数,2018-09,0.0019207683073227955,0.06494832206201351
29,国债指数,2018-10,0.004313443565780117,0.06954191654970021
30,国债指数,2018-11,0.006263421617752396,0.07624090851090992
31,国债指数,2018-12,0.007054360068765142,0.08383309940028072
32,国债指数,2019-01,0.006357428773251739,0.09072349113181066
33,国债指数,2019-02,0.0026906878802057665,0.09365828761005468
34,国债指数,2019-03,0.003500175008750661,0.09748628301646045
35,国债指数,2019-04,0.0,0.09748628301646045
36,国债指数,2019-05,0.0031391698639693377,0.10093147888222553
37,国债指数,2019-06,0.004346314325452072,0.10571647314023247
38,国债指数,2019-07,0.004096705325717043,0.1102462677044791
39,国债指数,2019-08,0.005516607286518704,0.11637106035472788
40,国债指数,2019-09,0.0031432163675848557,0.11988005614393282
41,国债指数,2019-10,0.0013103173246737931,0.12134745438305483
42,国债指数,2019-11,0.0039258079198907225,0.12574964910042108
43,国债指数,2019-12,0.004647208841031647,0.13098124282250878
44,国债指数,2020-01,0.004964178936086139,0.13659563608523673
45,国债指数,2020-02,0.007241088969969001,0.14482582620900852
46,国债指数,2020-03,0.0105884975479269,0.15694781166262595
47,国债指数,2020-04,0.007554869306275469,0.1656884011739186
48,国债指数,2020-05,-0.00010946308357506762,0.16556080132703843
49,国债指数,2020-06,-0.0014231758716951592,0.1639020033175962
50,国债指数,2020-07,0.0006577865482650935,0.16466760239887734
51,国债指数,2020-08,0.000438236099698619,0.16517800178639797
52,国债指数,2020-09,0.0022449761813503333,0.16779379864744182
53,国债指数,2020-10,-0.00021853146853145766,0.1675385989536815
54,国债指数,2020-11,0.0006010928961750484,0.1682403981115228
55,国债指数,2020-12,0.0036590027852110296,0.1725149929820089
56,国债指数,2021-01,0.003319185983240658,0.1764067883118543
57,国债指数,2021-02,0.0005423287596941773,0.1770447875462553
58,国债指数,2021-03,0.004173667949482152,0.18195738165114217
59,国债指数,2021-04,0.00356256072546679,0.18616817659818818
